Codigo do Investidor;Data de Adesao;Estado Civil;Genero;Profissao;Idade;UF do Investidor;Cidade do Investidor;Pais do Investidor;Situacao da Conta;Operou 12 Meses
138822;25/06/2008;Solteiro(a);F;PROFESSOR DE ENSINO SUPERIOR;56;SP;SAO PAULO;BRASIL;D;N
139763;13/12/2012;Casado(a) com brasileiro(a) nato(a);M;ECONOMISTA;59;SP;SAO PAULO;BRASIL;D;N
142193;16/07/2008;Solteiro(a);M;OUTROS;46;SP;SAO PAULO;BRASIL;D;N
143448;24/07/2008;Casado(a) com brasileiro(a) nato(a);M;SERVIDO PÚBLICO ESTADUAL;70;SP;SAO PAULO;BRASIL;D;N
144779;01/08/2008;Solteiro(a);M;VETERINÁRIO E ZOOTECNISTA;41;RS;PORTO ALEGRE;BRASIL;D;N
146067;15/08/2008;Casado(a) com brasileiro(a) nato(a);M;TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA;58;SP;SAO PAULO;BRASIL;D;N
147100;20/08/2008;Casado(a) com brasileiro(a) nato(a);F;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);72;SP;SAO PAULO;BRASIL;D;N
147101;20/08/2008;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);71;SP;SAO PAULO;BRASIL;D;N
148186;28/08/2008;Casado(a) com brasileiro(a) nato(a);M;OUTROS;63;SP;SAO PAULO;BRASIL;D;N
148231;29/08/2008;Casado(a) com brasileiro(a) nato(a);M;EMPRESÁRIO;56;SP;SAO PAULO;BRASIL;D;N
150850;19/09/2008;Casado(a) com brasileiro(a) nato(a);M;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;56;SP;SAO PAULO;BRASIL;D;N
151441;16/12/2008;Casado(a) com brasileiro(a) nato(a);M;EMPRESÁRIO;45;PR;CURITIBA;BRASIL;D;N
153451;07/10/2008;Casado(a) com brasileiro(a) nato(a);F;MÉDICO;68;SP;SAO PAULO;BRASIL;D;N
153454;07/10/2008;Casado(a) com brasileiro(a) nato(a);F;ADVOGADO;72;SP;SAO PAULO;BRASIL;D;N
154313;10/10/2008;Casado(a) com brasileiro(a) nato(a);M;OUTROS;46;SP;OSASCO;BRASIL;D;N
154935;16/06/2015;Solteiro(a);M;ADMINISTRADOR;44;SP;SAO PAULO;BRASIL;D;N
155451;17/10/2008;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;51;SP;SAO PAULO;BRASIL;D;N
155722;20/10/2008;Divorciado(a);M;ESTATÍSTICO;46;SP;CAMPINAS;BRASIL;D;N
157090;30/10/2008;Casado(a) com brasileiro(a) nato(a);M;DIRETOR DE EMPRESAS;50;RJ;RIO DE JANEIRO;BRASIL;D;N
